age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work_from_home,income,educational_attainment
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",32,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Somewhat,No,Positive,Asian,8,Natural and applied sciences,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Other,10,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,2,Sales and service,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,5,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Negative,White,4,Management,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,Indigenous,45,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,40,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,Indigenous,35,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,55,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",7,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,6,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Not at all,"Yes, two doses",Positive,White,40,Business,Work from Home Only,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",8,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Somewhat,No,Positive,Asian,24,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,32,"art, culture, recreation and sport",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Non-binary,Not at all,Not at all,No,Positive,Asian,10,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",4,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,6,"education, law and social, community, and government services",Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Not at all,No,Negative,"African, Caribbean, or Black ",45,"Trades, transport and equipment operators",Work from Home Only,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,3,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Management,Work from Home Only,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",4,Business,Hybrid,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",5,Health,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,48,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,48,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,12,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,14,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,5,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",30,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",High School Diploma or Lower
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",5,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",3,Business,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,Middle Eastern,5,Manufacturing and utilities,Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Not at all,Very Closely,"Yes, one dose",Positive,White,6,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Not at all,Very Closely,"Yes, one dose",Positive,White,5,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Somewhat,No,Positive,White,30,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,40,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,40,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,30,Sales and service,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Somewhat,No,Positive,"African, Caribbean, or Black ",6,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Not at all,"Yes, one dose",Positive,Middle Eastern,6,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Not at all,Somewhat,No,Positive,"African, Caribbean, or Black ",24,Natural resources and agriculture,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Negative,White,20,Health,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,36,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,6,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,Other,5,Business,Work from Home Only,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Not at all,"Yes, one dose",Positive,White,40,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Not at all,"Yes, one dose",Positive,White,40,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Other,30,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,30,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
40 to 49 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Positive,"African, Caribbean, or Black ",8,Natural resources and agriculture,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,3,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Somewhat,No,Positive,Indigenous,3,"art, culture, recreation and sport",Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,40,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,30,Business,Hybrid,"$60,000 to $89,999",Some College
40 to 49 years-old,Man,Not at all,Somewhat,"Yes, one dose",Positive,Indigenous,30,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",21,Business,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,80,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Sales and service,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,30,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,4,"art, culture, recreation and sport",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,White,9,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",32,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,50,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,Middle Eastern,3,Health,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,40,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,8,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,Asian,18,Health,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Positive,"African, Caribbean, or Black ",3,Business,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,2,Health,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,2,Health,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Other,8,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Positive,Asian,40,Manufacturing and utilities,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,40,Sales and service,Hybrid,"$30,000 to $59,999",Some College
40 to 49 years-old,Non-binary,Not at all,Not at all,No,Positive,Asian,12,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Other,8,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,32,Management,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,30,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
60 years and older,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,20,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Not at all,Very Closely,"Yes, one dose",Positive,White,6,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,Middle Eastern,12,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,No,Positive,White,4,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,2,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Middle Eastern,20,Natural and applied sciences,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,26,Natural resources and agriculture,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Non-binary,Very Closely,Very Closely,No,Positive,Asian,14,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,38,Health,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,White,26,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,8,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,White,36,Management,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Asian,40,Natural resources and agriculture,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Somewhat,"Yes, two doses",Positive,Asian,36,Natural resources and agriculture,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,20,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,Other,20,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,8,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,White,62,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Somewhat,No,Positive,Middle Eastern,8,"Trades, transport and equipment operators",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,"African, Caribbean, or Black ",40,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, two doses",Positive,White,30,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,2,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Positive,White,9,Natural and applied sciences,Work from Home Only,"$90,000 or more",Some College
18 to 29 years-old,Man,Not at all,Very Closely,"Yes, one dose",Positive,White,6,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,40,Business,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,No,Positive,White,30,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,8,Sales and service,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Other,27,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,34,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Not at all,"Yes, two doses",Positive,Other,5,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Not at all,Not at all,"Yes, one dose",Positive,White,5,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,White,5,"Trades, transport and equipment operators",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",4,Business,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,20,Management,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,3,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,3,"Trades, transport and equipment operators",Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,48,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Non-binary,Very Closely,Somewhat,No,Negative,Other,6,Sales and service,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,8,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,Asian,20,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Man,Not at all,Very Closely,"Yes, one dose",Positive,White,2,Business,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,9,Sales and service,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",32,Management,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Other,56,Management,Hybrid,"$60,000 to $89,999",Some College
60 years and older,Non-binary,Somewhat,Somewhat,"Yes, one dose",Positive,Asian,12,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,Sales and service,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,4,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,Middle Eastern,30,Manufacturing and utilities,Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",8,Health,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Not at all,"Yes, one dose",Positive,Middle Eastern,5,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,3,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Asian,30,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,White,20,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,40,Business,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Very Closely,Somewhat,"Yes, two doses",Positive,"African, Caribbean, or Black ",5,Management,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,6,"art, culture, recreation and sport",Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",7,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,35,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Management,Work from Home Only,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",3,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Negative,White,30,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,40,Management,Hybrid,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Negative,White,30,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Not at all,Somewhat,No,Positive,Indigenous,8,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,10,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",10,Health,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Somewhat,No,Positive,White,20,Business,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Somewhat,No,Positive,White,20,Business,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Somewhat,"Yes, one dose",Positive,White,30,Business,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,White,60,Sales and service,Hybrid,"$90,000 or more",Some College
